column,inferred_type,non_null,nulls
JEEntryKey,numeric,37905,0
JENumber,numeric,37905,0
JEIdentifier,numeric,37905,0
GLAccountNumber,numeric,37905,0
BLANK,text,0,37905
EffectiveDate,date,37905,0
Period,text,37905,0
EntryDate,date,37905,0
PreparerID,text,37905,0
Source,text,37905,0
BusinessUnit,text,37905,0
JEDescription,text,37905,0
Debit,numeric,18952,18953
Credit,numeric,18954,18951
Amount,numeric,37905,0
AbsoluteAmount,text,0,37905
SysManInd,text,0,37905
UserDefined1,text,0,37905
UserDefined2,text,0,37905
UserDefined3,text,0,37905
PeriodFlag,text,0,37905
AccountType,text,37905,0
AccountClass,text,37905,0
GLAccountStartingBalance,text,3,37902
GLAccountEndingBalance,text,0,37905
SortOrder,text,0,37905
GLAccountName,text,37905,0
Category,text,0,37905
Marked,text,0,37905
MarkedInReport,text,0,37905
